[SELL_PRICE] 2017-10-17 18:32:21 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:32:25 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:32:29 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:35:24 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:35:38 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:35:41 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:35:44 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:35:47 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:35:51 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:36:03 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:36:07 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:36:10 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:36:13 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:36:16 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:36:19 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:39:55 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:40:09 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:40:20 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:40:23 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:40:42 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:45:42 AFTER 
[SELL_PRICE] 2017-10-17 18:46:22 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:46:25 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:46:38 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:46:53 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:46:56 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:47:18 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:47:29 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:47:32 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:47:36 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:47:39 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:47:42 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:47:45 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:48:30 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:48:35 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:49:09 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:49:16 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:49:20 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:49:25 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:49:29 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:49:34 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:49:39 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:49:45 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:51:26 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:51:33 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:51:38 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:51:42 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:51:47 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:51:52 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:51:56 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:52:01 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:52:06 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:52:29 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:52:34 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:52:40 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:55:14 PAPER 
[SELL_PRICE] 2017-10-17 18:56:16 PAPER SUCCESS
